Layer,Elno,Text,Vnflag,Angle,RecordType,DataType,DataKind
"7101","08ND392-7101-0001","300","0","86",E7,注記,"4"
"7101","08ND392-7101-0002","340","0","-44",E7,注記,"4"
"7101","08ND392-7101-0003","280","0","-85",E7,注記,"4"
"7101","08ND392-7101-0004","310","0","-86",E7,注記,"4"
"7101","08ND392-7101-0005","290","0","18",E7,注記,"4"
"7101","08ND392-7101-0006","260","0","-57",E7,注記,"4"
"7101","08ND392-7101-0007","310","0","-65",E7,注記,"4"
"7101","08ND392-7101-0008","270","0","-21",E7,注記,"4"
"7101","08ND392-7101-0009","280","0","71",E7,注記,"4"
"7101","08ND392-7101-0010","310","0","-84",E7,注記,"4"
"7101","08ND392-7101-0011","240","0","-84",E7,注記,"4"
"7101","08ND392-7101-0012","220","0","-74",E7,注記,"4"
"7101","08ND392-7101-0013","190","0","27",E7,注記,"4"
"7101","08ND392-7101-0014","230","0","86",E7,注記,"4"
"7101","08ND392-7101-0015","180","0","85",E7,注記,"4"
"7101","08ND392-7101-0016","300","0","-53",E7,注記,"4"
"7101","08ND392-7101-0017","340","0","14",E7,注記,"4"
"7101","08ND392-7101-0018","180","0","-19",E7,注記,"4"
"7101","08ND392-7101-0019","90","0","23",E7,注記,"4"
"7101","08ND392-7101-0020","120","0","56",E7,注記,"4"
"7101","08ND392-7101-0021","140","0","66",E7,注記,"4"
"7101","08ND392-7101-0022","200","0","41",E7,注記,"4"
"7101","08ND392-7101-0023","160","0","83",E7,注記,"4"
"7101","08ND392-7101-0024","100","0","61",E7,注記,"4"
"7101","08ND392-7101-0025","270","0","-20",E7,注記,"4"
"7101","08ND392-7101-0026","210","0","19",E7,注記,"4"
"7101","08ND392-7101-0027","270","0","9",E7,注記,"4"
"7101","08ND392-7101-0028","280","0","26",E7,注記,"4"
"7101","08ND392-7101-0029","210","0","-15",E7,注記,"4"
"7101","08ND392-7101-0030","220","0","23",E7,注記,"4"
"7101","08ND392-7101-0031","190","0","13",E7,注記,"4"
"7101","08ND392-7101-0032","470","0","-80",E7,注記,"4"
"7101","08ND392-7101-0033","170","0","-80",E7,注記,"4"
"7101","08ND392-7101-0034","270","0","88",E7,注記,"4"
"7101","08ND392-7101-0035","170","0","75",E7,注記,"4"
"7101","08ND392-7101-0036","80","0","85",E7,注記,"4"
"7101","08ND392-7101-0037","140","0","48",E7,注記,"4"
"7101","08ND392-7101-0038","180","0","-83",E7,注記,"4"
"7101","08ND392-7101-0039","280","0","-83",E7,注記,"4"
"7101","08ND392-7101-0040","130","0","-64",E7,注記,"4"
"7101","08ND392-7101-0041","120","0","-72",E7,注記,"4"
"7101","08ND392-7101-0042","190","0","-39",E7,注記,"4"
"7101","08ND392-7101-0043","110","0","-38",E7,注記,"4"
"7101","08ND392-7101-0044","90","0","12",E7,注記,"4"
"7101","08ND392-7101-0045","110","0","-77",E7,注記,"4"
"7101","08ND392-7101-0046","190","0","-20",E7,注記,"4"
"7101","08ND392-7101-0047","240","0","-71",E7,注記,"4"
"7101","08ND392-7101-0048","180","0","52",E7,注記,"4"
"7101","08ND392-7101-0049","190","0","-78",E7,注記,"4"
"7101","08ND392-7101-0050","250","0","-1",E7,注記,"4"
"7101","08ND392-7101-0051","200","0","-79",E7,注記,"4"
"7101","08ND392-7101-0052","210","0","39",E7,注記,"4"
"7101","08ND392-7101-0053","180","0","80",E7,注記,"4"
"7101","08ND392-7101-0054","100","0","18",E7,注記,"4"
"7101","08ND392-7101-0055","90","0","23",E7,注記,"4"
"7101","08ND392-7101-0056","140","0","-80",E7,注記,"4"
